STATE_CODE,STATE_CODE_EXP,VWS_ID,SHRP_ID,YEAR,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR
1,Alabama,011021,1021,1972,17.79999924,5,33
1,Alabama,011021,1021,1973,17.89999962,1,44
1,Alabama,011021,1021,1974,17.70000076,0,28
1,Alabama,011021,1021,1975,17.5,5,35
1,Alabama,011021,1021,1976,16,12,55
1,Alabama,011021,1021,1977,17.39999962,44,55
1,Alabama,011021,1021,1978,17.10000038,13,61
1,Alabama,011021,1021,1979,16.79999924,12,43
1,Alabama,011021,1021,1980,17.5,7,44
1,Alabama,011021,1021,1981,17,19,48
1,Alabama,011021,1021,1982,17.89999962,22,31
1,Alabama,011021,1021,1983,16.20000076,38,48
1,Alabama,011021,1021,1984,17.39999962,6,45
1,Alabama,011021,1021,1985,17.60000038,23,59
1,Alabama,011021,1021,1986,18.20000076,8,38
1,Alabama,011021,1021,1987,17.60000038,3,38
1,Alabama,011021,1021,1988,16.79999924,5,55
1,Alabama,011021,1021,1989,17.10000038,32,36
1,Alabama,011021,1021,1990,18.5,2,24
1,Alabama,011021,1021,1991,17.89999962,3,35
1,Alabama,011021,1021,1992,16.79999924,1,36
1,Alabama,011021,1021,1993,17.39999962,5,41
1,Alabama,011021,1021,1994,17.89999962,9,36
1,Alabama,011021,1021,1995,17.89999962,5,53
1,Alabama,011021,1021,1996,17,40,52
1,Alabama,011021,1021,1997,17.29999924,6,35
1,Alabama,011021,1021,1998,18.79999924,0,24
1,Alabama,011021,1021,1999,18.10000038,8,39
1,Alabama,011021,1021,2000,17.89999962,17,54
1,Alabama,011021,1021,2001,17.5,6,43
1,Alabama,011021,1021,2002,17.79999924,3,49
1,Alabama,011021,1021,2003,17.5,11,48
1,Alabama,011021,1021,2004,17.89999962,2,42
1,Alabama,011021,1021,2005,17.70000076,0,41
1,Alabama,011021,1021,2006,18.29999924,0,36
1,Alabama,011021,1021,2007,18.39999962,1,41
1,Alabama,011021,1021,2008,17.79999924,5,56
1,Alabama,011021,1021,2009,17.79999924,6,42
1,Alabama,011021,1021,2010,17.60000038,27,70
1,Alabama,011021,1021,2011,18,8,48
1,Alabama,011021,1021,2012,18.29999924,1,29
1,Alabama,014125,4125,1972,18.29999924,4,28
1,Alabama,014125,4125,1973,18.39999962,1,38
1,Alabama,014125,4125,1974,18.20000076,0,25
1,Alabama,014125,4125,1975,18.20000076,3,32
1,Alabama,014125,4125,1976,16.60000038,8,52
1,Alabama,014125,4125,1977,18,36,47
1,Alabama,014125,4125,1978,17.70000076,5,51
1,Alabama,014125,4125,1979,17.39999962,5,39
1,Alabama,014125,4125,1980,17.89999962,3,41
1,Alabama,014125,4125,1981,17.60000038,13,41
1,Alabama,014125,4125,1982,18.60000038,21,26
1,Alabama,014125,4125,1983,16.89999962,32,36
1,Alabama,014125,4125,1984,18.10000038,4,39
1,Alabama,014125,4125,1985,18.20000076,23,54
1,Alabama,014125,4125,1986,18.70000076,6,36
1,Alabama,014125,4125,1987,18.10000038,2,35
1,Alabama,014125,4125,1988,17.39999962,4,53
1,Alabama,014125,4125,1989,17.70000076,29,32
1,Alabama,014125,4125,1990,19.10000038,1,22
1,Alabama,014125,4125,1991,18.39999962,2,37
1,Alabama,014125,4125,1992,17.39999962,0,31
1,Alabama,014125,4125,1993,17.89999962,3,33
1,Alabama,014125,4125,1994,18.39999962,5,32
1,Alabama,014125,4125,1995,18.29999924,3,44
1,Alabama,014125,4125,1996,17.39999962,32,46
1,Alabama,014125,4125,1997,17.70000076,5,31
1,Alabama,014125,4125,1998,19.20000076,0,23
1,Alabama,014125,4125,1999,18.39999962,7,33
1,Alabama,014125,4125,2000,18.20000076,14,48
1,Alabama,014125,4125,2001,17.79999924,5,39
1,Alabama,014125,4125,2002,18.20000076,2,43
1,Alabama,014125,4125,2003,17.70000076,9,47
1,Alabama,014125,4125,2004,18.5,1,40
1,Alabama,014125,4125,2005,18,0,41
1,Alabama,014125,4125,2006,18.5,0,37
1,Alabama,014125,4125,2007,18.70000076,2,40
1,Alabama,014125,4125,2008,18,3,50
1,Alabama,014125,4125,2009,18,2,40
1,Alabama,014125,4125,2010,17.79999924,22,69
1,Alabama,014125,4125,2011,17.60000038,9,53
1,Alabama,014125,4125,2012,17.89999962,3,32
1,Alabama,014126,4126,1948,17.70000076,5,22
1,Alabama,014126,4126,1949,16.79999924,9,59
1,Alabama,014126,4126,1950,16.10000038,37,72
1,Alabama,014126,4126,1951,16.10000038,54,63
1,Alabama,014126,4126,1952,16.20000076,9,67
1,Alabama,014126,4126,1953,16.5,17,63
1,Alabama,014126,4126,1954,15.69999981,13,77
1,Alabama,014126,4126,1955,15.60000038,47,82
1,Alabama,014126,4126,1956,16,8,79
1,Alabama,014126,4126,1957,15.89999962,33,59
1,Alabama,014126,4126,1958,14.60000038,109,78
1,Alabama,014126,4126,1959,15.69999981,54,70
1,Alabama,014126,4126,1960,14.69999981,76,90
1,Alabama,014126,4126,1961,15.10000038,42,62
1,Alabama,014126,4126,1962,15.60000038,91,74
1,Alabama,014126,4126,1963,14.80000019,117,92
1,Alabama,014126,4126,1964,15.39999962,43,83
1,Alabama,014126,4126,1965,15.80000019,53,74
1,Alabama,014126,4126,1966,14.89999962,69,67
1,Alabama,014126,4126,1967,15,24,70
1,Alabama,014126,4126,1968,14.5,57,96
1,Alabama,014126,4126,1969,14.69999981,25,91
1,Alabama,014126,4126,1970,15.39999962,85,73
1,Alabama,014126,4126,1971,15.60000038,52,59
1,Alabama,014126,4126,1972,15.69999981,34,56
1,Alabama,014126,4126,1973,16.10000038,39,59
1,Alabama,014126,4126,1974,16,3,47
1,Alabama,014126,4126,1975,15.69999981,24,56
1,Alabama,014126,4126,1976,14.30000019,46,81
1,Alabama,014126,4126,1977,15.69999981,123,67
1,Alabama,014126,4126,1978,15.10000038,93,69
1,Alabama,014126,4126,1979,14.80000019,63,69
1,Alabama,014126,4126,1980,15.19999981,59,81
1,Alabama,014126,4126,1981,15.39999962,55,71
1,Alabama,014126,4126,1982,15.39999962,63,70
1,Alabama,014126,4126,1983,13.80000019,65,94
1,Alabama,014126,4126,1984,15.60000038,47,74
1,Alabama,014126,4126,1985,15.5,92,70
1,Alabama,014126,4126,1986,16.29999924,22,65
1,Alabama,014126,4126,1987,15.39999962,14,78
1,Alabama,014126,4126,1988,14.69999981,63,77
1,Alabama,014126,4126,1989,15,81,64
1,Alabama,014126,4126,1990,17,7,45
1,Alabama,014126,4126,1991,16.60000038,11,61
1,Alabama,014126,4126,1992,14.69999981,13,87
1,Alabama,014126,4126,1993,14.89999962,19,84
1,Alabama,014126,4126,1994,15.89999962,43,56
1,Alabama,014126,4126,1995,15.39999962,46,79
1,Alabama,014126,4126,1996,15.10000038,83,80
1,Alabama,014126,4126,1997,14.80000019,40,76
1,Alabama,014126,4126,1998,16.20000076,13,64
1,Alabama,014126,4126,1999,16.10000038,27,80
1,Alabama,014126,4126,2000,16.5,53,63
1,Alabama,014126,4126,2001,16.60000038,20,45
1,Alabama,014126,4126,2002,17.20000076,9,63
1,Alabama,014126,4126,2003,16.10000038,35,67
1,Alabama,014126,4126,2004,16.60000038,24,56
1,Alabama,014126,4126,2005,15.89999962,11,69
1,Alabama,014126,4126,2006,16.10000038,13,77
1,Alabama,014126,4126,2007,16.70000076,20,73
1,Alabama,014126,4126,2008,15.39999962,31,90
1,Alabama,014126,4126,2009,15.19999981,31,69
1,Alabama,014126,4126,2010,15.30000019,97,80
1,Alabama,014126,4126,2011,15.80000019,36,60
1,Alabama,014126,4126,2012,16.39999962,7,51
5,Arkansas,053048,3048,1966,15.30000019,71,61
5,Arkansas,053048,3048,1967,15.69999981,47,68
5,Arkansas,053048,3048,1968,15.10000038,71,76
5,Arkansas,053048,3048,1969,15.30000019,36,86
5,Arkansas,053048,3048,1970,15.5,102,63
5,Arkansas,053048,3048,1971,16.5,59,57
5,Arkansas,053048,3048,1972,15.69999981,58,52
5,Arkansas,053048,3048,1973,16.39999962,40,51
5,Arkansas,053048,3048,1974,15.80000019,33,48
5,Arkansas,053048,3048,1975,15.60000038,33,59
5,Arkansas,053048,3048,1976,15.39999962,52,62
5,Arkansas,053048,3048,1977,16,137,60
5,Arkansas,053048,3048,1978,15.10000038,155,67
5,Arkansas,053048,3048,1979,14.5,157,67
5,Arkansas,053048,3048,1980,16.70000076,51,57
5,Arkansas,053048,3048,1981,16.79999924,40,51
5,Arkansas,053048,3048,1982,16.70000076,86,39
5,Arkansas,053048,3048,1983,16,124,33
5,Arkansas,053048,3048,1984,16.60000038,42,38
5,Arkansas,053048,3048,1985,16.5,107,55
5,Arkansas,053048,3048,1986,17.70000076,27,38
5,Arkansas,053048,3048,1987,17.10000038,8,41
5,Arkansas,053048,3048,1988,16.10000038,83,45
5,Arkansas,053048,3048,1989,15.69999981,126,49
5,Arkansas,053048,3048,1990,17.39999962,20,22
5,Arkansas,053048,3048,1991,17,11,39
5,Arkansas,053048,3048,1992,16.29999924,6,35
5,Arkansas,053048,3048,1993,16.10000038,10,53
